drug_a,drug_b,score,name_a,name_b,influential_neighbors_a,influential_neighbors_b
DB01873,DB13571,0.9962104558944702,Epothilone D,Pentamycin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB03410:4-hydroxycoumarin (0.041); DB13571:Pentamycin (0.011)
DB06663,DB08953,0.9962100982666016,Pasireotide,Indalpine,DB13985:Lutetium Lu 177 dotatate (0.977); DB13925:Dotatate gallium Ga-68 (0.975); DB06663:Pasireotide (0.814),DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000)
DB09170,DB13821,0.9960139989852904,β-Hydroxythiofentanyl,Ceftezole,DB09170:β-Hydroxythiofentanyl (1.000),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB07983,DB12524,0.9959579110145568,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,BI-671800,DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000),DB12524:BI-671800 (1.000)
DB03513,DB08953,0.9959313273429872,"(S)-2-Amino-3-(4h-Selenolo[3,2-B]-Pyrrol-6-Yl)-Propionic Acid",Indalpine,"DB03513:(S)-2-Amino-3-(4h-Selenolo[3,2-B]-Pyrrol-6-Yl)-Propionic Acid (0.497); DB06210:Eltrombopag (0.021)",DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000)
DB00328,DB00459,0.99591064453125,Indomethacin,Acitretin,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB00459:Acitretin (0.232); DB12474:Lynestrenol (0.010)
DB00338,DB07983,0.995855987071991,Omeprazole,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,DB14218:Telotristat (0.574); DB00338:Omeprazole (0.506),DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000)
DB00328,DB12220,0.995705783367157,Indomethacin,ORG-25935,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB12220:ORG-25935 (1.000)
DB00682,DB11181,0.995669722557068,Warfarin,Homatropine,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB11181:Homatropine (0.193); DB09262:Imidafenacin (0.050)
DB01873,DB13078,0.995608389377594,Epothilone D,KOSN-1724,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB13078:KOSN-1724 (1.000)
DB03622,DB08953,0.9955158829689026,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",Indalpine,"DB03622:5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione (1.000)",DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000)
DB01873,DB13097,0.9954076409339904,Epothilone D,1alpha-Hydroxyvitamin D5,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB13097:1alpha-Hydroxyvitamin D5 (0.301); DB14652:Clocortolone acetate (0.026)
DB01873,DB15614,0.9953568577766418,Epothilone D,Previtamin D(3),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB15614:Previtamin D(3) (0.276); DB14652:Clocortolone acetate (0.020)
DB01873,DB04891,0.9953290224075316,Epothilone D,Becocalcidiol,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB04891:Becocalcidiol (0.353); DB14652:Clocortolone acetate (0.029)
DB01873,DB07348,0.9953168630599976,Epothilone D,Brefeldin A,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB07348:Brefeldin A (1.000)
DB00981,DB13308,0.9951674938201904,Physostigmine,Oxametacin,DB00981:Physostigmine (0.105); DB09262:Imidafenacin (0.044),DB13308:Oxametacin (1.000)
DB06770,DB09076,0.99516499042511,Benzyl alcohol,Umeclidinium,DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000),DB09076:Umeclidinium (0.693); DB14719:Bentazepam (0.076)
DB09271,DB14055,0.9951425790786744,Cimetropium,(S)-Warfarin,DB09271:Cimetropium (0.057); DB09262:Imidafenacin (0.037),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB07443,DB08169,0.9951068162918092,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000),DB08169:(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide (1.000)
DB04145,DB06770,0.9949567914009094,Nicotinyl alcohol,Benzyl alcohol,DB04145:Nicotinyl alcohol (0.873); DB13967:Patent Blue (0.780),DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB00655,DB01873,0.994936466217041,Estrone,Epothilone D,DB00655:Estrone (1.000),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB07984,DB13308,0.9948915243148804,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide,Oxametacin,DB07984:2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide (1.000),DB13308:Oxametacin (1.000)
DB07981,DB13308,0.9948915243148804,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,Oxametacin,DB07981:2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide (1.000),DB13308:Oxametacin (1.000)
DB00682,DB13381,0.9948564767837524,Warfarin,Sodium feredetate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB13381:Sodium feredetate (0.459); DB00537:Ciprofloxacin (0.040)
DB00979,DB14055,0.9948253631591796,Cyclopentolate,(S)-Warfarin,DB00979:Cyclopentolate (0.064); DB09262:Imidafenacin (0.040),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB06770,DB06900,0.9947924017906188,Benzyl alcohol,1-[4-(hydroxymethyl)phenyl]guanidine,DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000),DB06900:1-[4-(hydroxymethyl)phenyl]guanidine (1.000)
DB00682,DB01364,0.9945883750915528,Warfarin,Ephedrine,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB01364:Ephedrine (1.000)
DB01076,DB04892,0.9945120811462402,Atorvastatin,Phenserine,DB11554:Tylvalosin (1.000); DB01369:Quinupristin (0.999); DB01321:Josamycin (0.999),DB04892:Phenserine (0.146); DB09262:Imidafenacin (0.047)
DB01076,DB15317,0.9945120811462402,Atorvastatin,Posiphen,DB11554:Tylvalosin (1.000); DB01369:Quinupristin (0.999); DB01321:Josamycin (0.999),DB15317:Posiphen (0.146); DB09262:Imidafenacin (0.047)
DB07983,DB12220,0.9945039749145508,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,ORG-25935,DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000),DB12220:ORG-25935 (1.000)
DB08953,DB13985,0.9944779872894288,Indalpine,Lutetium Lu 177 dotatate,DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000),DB06663:Pasireotide (0.093); DB13985:Lutetium Lu 177 dotatate (0.023)
DB08953,DB13925,0.9944732785224916,Indalpine,Dotatate gallium Ga-68,DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000),DB06663:Pasireotide (0.094); DB13925:Dotatate gallium Ga-68 (0.025)
DB09239,DB13821,0.994437575340271,Niguldipine,Ceftezole,DB09239:Niguldipine (0.284); DB12095:Telotristat ethyl (0.020),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB03410,0.9944286346435548,Warfarin,4-hydroxycoumarin,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB12939:Nikkomycin Z (0.996); DB04741:Myxothiazol (0.996); DB06733:Bafilomycin A1 (0.994)
DB03121,DB13308,0.9943411350250244,(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,Oxametacin,DB03121:(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid (1.000),DB13308:Oxametacin (1.000)
DB03070,DB03423,0.9943084120750428,Selenazole-4-carboxyamide-adenine dinucleotide,S-Adenosyl-L-Homoselenocysteine,DB03070:Selenazole-4-carboxyamide-adenine dinucleotide (0.009); DB06210:Eltrombopag (0.003),DB03423:S-Adenosyl-L-Homoselenocysteine (0.114); DB06210:Eltrombopag (0.004)
DB03622,DB06770,0.994082510471344,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",Benzyl alcohol,"DB03622:5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione (1.000)",DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB11181,DB14055,0.994079887866974,Homatropine,(S)-Warfarin,DB11181:Homatropine (0.193); DB09262:Imidafenacin (0.050),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB00297,DB13821,0.9940282106399536,Bupivacaine,Ceftezole,DB00297:Bupivacaine (0.397); DB12095:Telotristat ethyl (0.035),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01070,DB01873,0.9939898252487184,Dihydrotachysterol,Epothilone D,DB13800:Calcium levulinate (0.309); DB01070:Dihydrotachysterol (0.097); DB14652:Clocortolone acetate (0.034),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB00328,DB08655,0.9939388036727904,Indomethacin,"9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE",DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),"DB08655:9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE (1.000)"
DB00682,DB14485,0.9938828945159912,Warfarin,Zinc ascorbate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB14485:Zinc ascorbate (0.376); DB00537:Ciprofloxacin (0.029)
DB06481,DB08880,0.9937726855278016,Manitimus,Teriflunomide,DB06481:Manitimus (1.000),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB00459,DB07983,0.9937508702278136,Acitretin,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,DB00459:Acitretin (0.232); DB12474:Lynestrenol (0.010),DB07983:1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID (1.000)
DB07703,DB13821,0.9936659932136536,"(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE",Ceftezole,"DB07703:(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE (1.000)",DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB08653,DB08953,0.9936383366584778,Tryptamine,Indalpine,DB08653:Tryptamine (1.000),DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000)
DB11592,DB13821,0.9936169385910034,Nitrocefin,Ceftezole,DB11592:Nitrocefin (1.000),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13744,DB13821,0.9935644268989564,Piromidic acid,Ceftezole,DB13744:Piromidic acid (0.062); DB00825:Levomenthol (0.055),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB06900,DB07443,0.99351304769516,1-[4-(hydroxymethyl)phenyl]guanidine,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB06900:1-[4-(hydroxymethyl)phenyl]guanidine (1.000),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB00682,DB04619,0.993505597114563,Warfarin,Acetophenone,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB00460:Verteporfin (0.997); DB04619:Acetophenone (0.863)
DB04892,DB07443,0.9934967756271362,Phenserine,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB04892:Phenserine (0.146); DB09262:Imidafenacin (0.047),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB00682,DB13596,0.9934595823287964,Warfarin,Oxycinchophen,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB13596:Oxycinchophen (1.000)
DB04619,DB08880,0.9933931231498718,Acetophenone,Teriflunomide,DB00460:Verteporfin (0.997); DB04619:Acetophenone (0.863),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB00338,DB13308,0.9933332800865172,Omeprazole,Oxametacin,DB14218:Telotristat (0.574); DB00338:Omeprazole (0.506),DB13308:Oxametacin (1.000)
DB07951,DB08953,0.9933331608772278,N-(indole-3-acetyl)-L-aspartic acid,Indalpine,DB07951:N-(indole-3-acetyl)-L-aspartic acid (1.000),DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000)
DB00682,DB14514,0.9932723641395568,Warfarin,Magnesium levulinate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB14514:Magnesium levulinate (0.533); DB00537:Ciprofloxacin (0.062)
DB01873,DB05288,0.9932640790939332,Epothilone D,Anecortave acetate,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB05288:Anecortave acetate (0.103); DB00630:Alendronic acid (0.085)
DB03938,DB13821,0.9932617545127868,Deacetoxycephalosporin C,Ceftezole,DB03938:Deacetoxycephalosporin C (0.185); DB00996:Gabapentin (0.023),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB07951,0.9932541251182556,Warfarin,N-(indole-3-acetyl)-L-aspartic acid,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB07951:N-(indole-3-acetyl)-L-aspartic acid (1.000)
DB00682,DB08455,0.9930418729782104,Warfarin,Ro 12-7310,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB08455:Ro 12-7310 (0.287); DB12474:Lynestrenol (0.012)
DB02266,DB08880,0.9929152727127076,Flufenamic acid,Teriflunomide,DB02266:Flufenamic acid (0.566); DB00945:Acetylsalicylic acid (0.131),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB13381,DB14055,0.9927310347557068,Sodium feredetate,(S)-Warfarin,DB13381:Sodium feredetate (0.459); DB00537:Ciprofloxacin (0.040),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB12632,DB13821,0.9925822019577026,JNJ-41443532,Ceftezole,DB12632:JNJ-41443532 (1.000),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB02753,DB03070,0.992573380470276,Selenoinosine,Selenazole-4-carboxyamide-adenine dinucleotide,DB02753:Selenoinosine (0.322); DB06210:Eltrombopag (0.006),DB03070:Selenazole-4-carboxyamide-adenine dinucleotide (0.009); DB06210:Eltrombopag (0.003)
DB01418,DB13771,0.9925169348716736,Acenocoumarol,Ferric sodium citrate,DB01418:Acenocoumarol (1.000),DB13771:Ferric sodium citrate (1.000)
DB01501,DB07443,0.99244225025177,Difenoxin,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB01501:Difenoxin (1.000),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB00682,DB14486,0.9923803806304932,Warfarin,Niacinamide ascorbate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB12235:Estetrol (0.090); DB14486:Niacinamide ascorbate (0.072)
DB01369,DB13821,0.9923661351203918,Quinupristin,Ceftezole,DB01076:Atorvastatin (0.011); DB01369:Quinupristin (0.001),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
